,BigMacIndex(USD),Country_1,Happiness Score,Year
0,0.02297,Argentina,6.574,2015
1,0.0056,Australia,7.284,2015
2,0.7543,Brazil,6.983,2015
3,0.18177,Canada,7.427,2015
4,0.04755,Chile,6.67,2015
5,-0.09006,China,5.14,2015
6,0.12624,Colombia,6.477,2015
7,0.35587,Denmark,7.527,2015
8,-0.20162,Egypt,4.194,2015
9,-0.00405,Hungary,4.8,2015
10,-0.32819,India,4.565,2015
11,-0.22572,Indonesia,5.399,2015
12,0.21498,Israel,7.278,2015
13,-0.22744,Japan,5.987,2015
14,-0.35992,Malaysia,5.77,2015
15,0.09001,Mexico,7.187,2015
16,0.17589,New Zealand,7.286,2015
17,0.47424,Norway,7.522,2015
18,0.07558,Pakistan,5.194,2015
19,0.13226,Peru,5.824,2015
20,0.30761,Philippines,5.073,2015
21,-0.25008,Poland,5.791,2015
22,-0.60509,Russia,5.716,2015
23,-0.22016,Saudi Arabia,6.411,2015
24,-0.23697,Singapore,6.798,2015
25,-0.27702,South Africa,4.642,2015
26,0.04182,South Korea,5.984,2015
27,0.25862,Sweden,7.364,2015
28,0.76448,Switzerland,7.587,2015
29,0.03027,Thailand,6.455,2015
30,0.2959,Turkey,5.332,2015
31,0.0,United States,7.119,2015
32,-0.22794,Argentina,6.65,2016
33,-0.11827,Australia,7.313,2016
34,0.18489,Brazil,6.952,2016
35,0.08918,Canada,7.404,2016
36,-0.05217,Chile,6.705,2016
37,-0.08033,China,5.245,2016
38,-0.14302,Colombia,6.481,2016
39,0.04726,Denmark,7.526,2016
40,-0.21567,Egypt,4.362,2016
41,0.00397,Hungary,5.145,2016
42,-0.28307,India,4.404,2016
43,-0.20126,Indonesia,5.314,2016
44,0.18093,Israel,7.267,2016
45,-0.2311,Japan,5.921,2016
46,-0.4247,Malaysia,6.005,2016
47,-0.04906,Mexico,6.778,2016
48,0.03925,New Zealand,7.334,2016
49,0.23274,Norway,7.498,2016
50,0.0942,Pakistan,5.132,2016
51,0.0446,Peru,5.743,2016
52,0.03879,Philippines,5.279,2016
53,-0.25762,Poland,5.835,2016
54,-0.52275,Russia,5.856,2016
55,-0.06328,Saudi Arabia,6.379,2016
56,-0.30327,Singapore,6.739,2016
57,-0.39341,South Africa,4.459,2016
